jmbg,ime,prezime,dat_zaposlenja,plata,mjesto,igraonica,username,password,administrator
2702000868443,Ana,Miloševiæ,10/9/2016,360,76300,649949451,AnaMiloševiæ00,24579,0
1903999799653,Katarina,Stevanoviæ,12/8/2017,400,75446,649949451,KatarinaStevanoviæ99,27631,0
0706005549746,Vukašin,Jevtiæ,1/22/2020,410,88280,649949451,VukašinJevtiæ00,35766,0
2906987533538,Teodor,Anðelkoviæ,4/20/2015,440,78400,649949451,TeodorAnðelkoviæ98,92416,0
2603996636845,Slobodan,Božiæ,6/25/2020,370,75400,649949451,SlobodanBožiæ99,08730,1
3103006379647,Mila,Cvetkoviæ,6/19/2017,370,76330,776870164,MilaCvetkoviæ00,53737,0
2708996624299,Andrea,Milenkoviæ,4/25/2017,350,75450,776870164,AndreaMilenkoviæ99,53650,0
1202007893993,Viktor,Ðokiæ,10/28/2019,430,88363,776870164,ViktorÐokiæ00,57445,0
0505985953887,Mateja,Jakovljeviæ,10/1/2017,430,78420,776870164,MatejaJakovljeviæ98,89836,0
0802996973544,Mateo,Radivojeviæ,5/16/2018,440,75406,776870164,MateoRadivojeviæ99,88983,1
1309999366448,Aleksandra,Jovanoviæ,11/11/2019,470,78101,897063916,AleksandraJovanoviæ99,74419,0
0303002887756,Milica,Krstiæ,4/27/2020,350,76256,897063916,MilicaKrstiæ00,78427,0
1408982668983,Marija,Simiæ,8/19/2020,350,79227,897063916,MarijaSimiæ98,73733,0
2207009329525,Uroš,Stanojeviæ,11/12/2018,350,73110,897063916,UrošStanojeviæ00,53110,0
2606983362256,Nemanja,Trajkoviæ,11/2/2018,420,76300,897063916,NemanjaTrajkoviæ98,46669,1
0608003644935,Teodora,Ristiæ,10/10/2017,430,79290,907399502,TeodoraRistiæ00,88873,0
3103994325852,Emilija,Milovanoviæ,2/12/2015,350,75430,907399502,EmilijaMilovanoviæ99,85172,0
1303002795778,Vuk,Antiæ,11/15/2020,390,89230,907399502,VukAntiæ00,52558,0
0207989863669,Ðorðe,Marjanoviæ,3/14/2018,360,70273,907399502,ÐorðeMarjanoviæ98,31407,0
0305995693425,Dejan,Boškoviæ,2/25/2020,410,74480,907399502,DejanBoškoviæ99,36280,1
1808997689277,Ema,Nikoliæ,12/20/2018,410,78230,971027170,EmaNikoliæ99,36463,0
2409001744747,Helena,Lukiæ,2/28/2017,420,74101,971027170,HelenaLukiæ00,53354,0
0308989657384,Kalina,Nedeljkoviæ,4/4/2019,380,79263,971027170,KalinaNedeljkoviæ98,72294,0
1202005955724,Aleksa,Tasiæ,7/30/2015,410,73240,971027170,AleksaTasiæ00,91798,0
3003985263375,Sergej,Arsiæ,4/20/2018,350,75240,971027170,SergejArsiæ98,75406,1
1508006333667,Tara,Dimitrijeviæ,1/24/2018,400,76101,976984843,TaraDimitrijeviæ00,24529,0
3007983723353,Natalija,Mladenoviæ,7/25/2019,410,79220,976984843,NatalijaMladenoviæ98,88494,0
0503003453749,Pavle,Vukoviæ,7/7/2015,390,88280,976984843,PavleVukoviæ00,90701,0
0308984556576,David,Veljkoviæ,9/16/2018,450,79290,976984843,DavidVeljkoviæ98,23336,0
2403997453975,Goran,Milutinoviæ,7/25/2020,370,75430,976984843,GoranMilutinoviæ99,79003,1
